Идентификационный номер (номер коробки-номер пластины),OBJECT,RA,DEC   (градусы),DATE-OBS,exposition ,TIME-OBS (tзв-s),TIME-END,Т декретное ??? необходимо перевести в UT,SIZE,TELESCOPE,OBSERVER,COMMENTS,
11-1055,NGC6334,17h18m,-36.00,26-27.07.1954,35m,17h55m,18h30m,UT_17h55m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 16C,  пластинки Jsopan JSS + ж.ф.II.",
11-1073,NGC6334,17h18m,-36.00,31.07-01.08.1954,35m,18h18m,18h53m,UT_18h18m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 23C,  пластинки Ultra spec + ж.ф.II.",
11-1082,NGC6334,17h18m,-36.00,05-06.08.1954,50m,17h35m,18h25m,UT_17h35m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 18C,  пластинки Ultra spec + ж.ф.II.",
11-1329-a-st,rho-Scrp,15h56m,-29.12,29-30.06.1955,1h,15h02m,16h02m,UT_15h02m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 10C,  пластинки rot rapid (очувствленные) + к.ф.III, стандарт к снимку 22-1329.",
11-1341,NGC6357,17h22m,-34.24,15-16.05.1955,1h30m,16h42m,18h12m,UT_16h42m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 10C,  пластинки Jsopan JSS (очувствленные) + к.ф.III,  имеет стандарт 11-1341-a-st  и калибровку 24-1341-Cal .",
11-1341-a-st,rho-Scrp,15h56m,-29.12,15-16.05.1955,1h30m,14h59m,16h29m,UT_14h59m,"8,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 10C,  пластинки Jsopan JSS (очувствленные) + к.ф.III,  стандарт  к  снимку 11-1341.",
11-1434,McD30,22h15m,62.43,10-11.10.1955,1h,21h52m,22h52m,21h52m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 1C,  пластинки Astro uns + у.ф.с. Шотта, имеет калибровку 11-1433-Cal.",
11-1433-Cal,Calibrovka,,,10-11.10.1955,,,,,"3,2*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 1C,  пластинки Astro uns + у.ф.с. Шотта, калибровка к снимкам  5-1433 и 11-1434.",
11-2743,NGC129,00h04m,65.25,03-04.12.1964,12m,02h22m,02h34m,02h22m,"8,7*9,7cm",50cm менисковый телескоп Максутова,,"t= - 5C,  пластинки Astro spec, стандарт к снимкам 20-2741, 20-2742 и 12-2744. Метод Меткофа-Блажко.",
11-2992,NGC129,00h04m,65.25,18-19.11.1965,3m,23h51m,23h54m,23h51m,"8,7*9,7cm",50cm менисковый телескоп Максутова,,"t= + 11C,  пластинки Kodak OaO,  стандарт  к  снимку 23-2990, 23-2991.",
11-5004,Sky,19h25m,20.00,22-23.07.1973,10m,21h13m,21h23m,21h13m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Городецкий Д.И.,"t= + 21C,  пластинки ZP-1 + ж.ф.III.",
11-5003,Sky,19h25m,20.00,22-23.07.1973,10m,20h55m,21h05m,20h55m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Городецкий Д.И.,"t= + 21C,  пластинки ZP-1 + ж.ф.III.",
11-4003,NGC6611-NGC6618,18h17m,-15.30,02-03.08.1972,15m,18h15m,18h30m,UT_18h15m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.  Городецкий Д.И.,"t= + 1C,  пластинки Kodak 103aO + у.ф.с. Шотта, стандарт  к снимку 11-4002.",
11-4002-Cal,Calibrovka,,,02-03.08.1972,,,,,"3,2*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.  Городецкий Д.И.,"t= + 1C,  пластинки Kodak 103aO + у.ф.с. Шотта, калибровка  к снимкам 11-4002,11-4003, 18-4004, 11-4005, 11-4006",
11-4005,NGC6910,20h23m,40.46,02-03.08.1972,20m,19h16m,19h36m,UT_19h16m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.  Городецкий Д.И.,"t= + 1C,  пластинки Kodak 103aO + у.ф.с. Шотта, стандарт  к снимку 18-4004. Метод Меткофа-Блажко.",
11-4006,NGC7023,21h01m,68.10,02-03.08.1972,20m,19h56m,20h16m,UT_19h56m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.  Городецкий Д.И.,"t= + 1C,  пластинки Kodak 103aO + у.ф.с. Шотта, стандарт  к снимку 18-4004, 11-4005.",
11-350, M45   Плеяды,03h46m,24.07,21-22.11.1951,1h,02h07m,03h07m,02h07m,"9,2*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 9C,  пластинки Astro uns 1326.",
11-1915,MP1578,00h39m,03.09,24-25.09.1957,30m,22h57m,23h27m,22h57m,"9,7*9,7cm",50cm менисковый телескоп Максутова,,"t= + 16C,  пластинки Jlford zenit. Метод Меткофа-Блажко.",
11-1916,MP1578,00h39m,03.09,24-25.09.1957,30m,23h34m,00h04m,23h34m,"9,7*9,7cm",50cm менисковый телескоп Максутова,,"t= + 16C,  пластинки Jlford zenit.",
11-1967,IC405,05h17m,34.23,10-11.02.1958,30m,06h48m,07h18m,06h48m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 1C,  пластинки Kodak 103aO.",
11-2067-a,21P/Giacobini-Zinner Комета Джакобинни-Циннера,17h16m,12.40,02-03.10.1959,5m,20h08m,20h13m,20h08m,"8,7*9,7cm",50cm менисковый телескоп Максутова,,"t=+ 18C,  пластинки Kodak 103 OaO.",
11-1998,Komets-Barnhama Комета Барнхама,20h38m,13.00,01-02.10.1958,10m,20h09m,20h19m,20h09m,"8,7*9,7cm",50cm менисковый телескоп Максутова,,"t= + 16C,  метод Меткофа-Блажко.",
11-1997,Komets Barnhama Комета Барнхама,20h41m,13.00,29-30.09.1958,9m,19h48m,19h57m,19h48m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 1C,  пластинки Kodak, метод Меткофа-Блажко.",
11-2257-st,NPS (α UMi)   Полярная звезда,02h31m,89.15,05-06.04.1962,10m,11h48m,11h58m,UT_11h48m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Курчаков А.В.,"t= 0C,  пластинки Kodak 103 OaO, стандарт к снимку 1K-2257 .",
12-747,NGC2237-9  Розетка,06h30m,04.40,19-20.03.1953,30m,08h44m,09h14m,UT_08h44m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 10C,  пластинки Jsopan JSS (очувствленные) + к.ф.III,   имеет стандар25-748 и калибровк 25-747-Cal.",
12-2386,NGC2237-9  Розетка,06h30m,04.40,20-21.12.1963,20m,08h12m,08h32m,UT_08h12m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 5C,  пластинки Astro uns + у.ф.с.1.",
12-5282,NGC2237-9  Розетка,06h30m,04.40,15-16.01.1983,7m,05h28m,05h35m,UT_05h28m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t=- 7C,  пластинки Kodak 103 OaO, имеет калибровку 12-5282-Cal.",
12-5283,NGC2237-9  Розетка,06h30m,04.40,15-16.01.1983,8m,05h48m,05h56m,UT_05h48m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t=- 7C,  пластинки Kodak 103 OaO, имеет калибровку 12-5282-Cal.",
12-5287,NGC2237-9  Розетка,06h30m,04.40,05-06.02.1983,45m,06h34m,07h19m,UT_06h34m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 1C,  пластинки Kodak 103aE + к.ф.III, имеет калибровку 12-5286-Cal.",
12-5288-a,NGC2237-9  Розетка,06h30m,04.40,09-10.02.1983,10m,06h20m,06h30m,UT_06h20m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 1C,  пластинки Kodak 103aD + ж.ф.18, имеет калибровку 12-5288-a-Cal.",
12-5289,NGC2237-9  Розетка,06h30m,04.40,14-15.02.1983,12m,06h56m,07h08m,UT_06h56m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 1C,  пластинки Kodak 103aD + ж.ф.18, имеет калибровку 12-5289-Cal.",
12-5290,NGC2237-9  Розетка,06h30m,04.40,14-15.02.1983,12m,07h19m,07h31m,UT_07h19m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 1C,  пластинки Kodak 103aD + ж.ф.18, имеет калибровку 12-5289-Cal.",
12-5291,NGC2237-9  Розетка,06h30m,04.40,15-16.02.1983,8m,07h26m,07h34m,UT_07h26m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= 0 C,  пластинки Kodak 103aO, имеет калибровку 12-5291-Cal.",
12-5292,NGC2237-9  Розетка,06h30m,04.40,09-10.03.1983,10m,22h24m,22h34m,DT_22h24m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= 0 C,  пластинки Kodak 103aO, имеет калибровку 12-5292-Cal.",
12-5293,NGC2237-9  Розетка,06h30m,04.40,10-11.03.1983,7m,20h51m,20h58m,DT_20h51m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 6C,  пластинки Kodak 103aO, имеет калибровку 12-5293-Cal.",
12-5294,NGC2237-9  Розетка,06h30m,04.40,31.03-01.04.1983,8m,08h58m,09h06m,UT_08h58m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 7C,  пластинки Kodak 103aO, имеет калибровку 12-5294-Cal.",
12-5295,NGC2237-9  Розетка,06h30m,04.40,31.03-01.04.1983,7m,09h14m,09h21m,UT_09h14m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 7C,  пластинки Kodak 103aO, имеет калибровку 12-5294-Cal.",
12-5442-a-st,alpha-Lacerta (Lac) область,22h31m,50.16,30-31.10.1984,25m,21h54m,22h19m,21h54m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 4C,  пластинки Kodak 103aE + к.ф.III, стандарт к снимку 12-5442-b.",
12-5442-b,NGC5146,13h26m,-12.19,30-31.10.1984,25m,21h14m,21h39m,21h14m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 4C,  пластинки Kodak 103aE + к.ф.III, имеет стандарт 12-5442-a  и калибровку 12-5442-a-Cal.",
12-5455,NGC2237-9  Розетка,06h30m,04.40,16-17.02.1985,10m,20h24m,20h34m,20h24m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 1C,  пластинки Kodak 103aD + ж.ф.18, имеет стандарт 12-5455-st  и калибровку 12-5455-Cal.",
12-5455-st,Sky-Ori,05h25m,03.00,16-17.02.1985,10m,21h05,21h15m,21h05,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 1C,  пластинки Kodak 103aD + ж.ф.18, стандарт  к снимку 12-5455.",
12-5456,NGC2237-9  Розетка,06h30m,04.40,16-17.02.1985,10m,20h41m,20h51m,20h41m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 1C,  пластинки Kodak 103aD + ж.ф.18, имеет стандарт 12-5456-st  и калибровку 12-5456-Cal.",
12-5456-st,Sky-Ori,05h25m,03.00,16-17.02.1985,10m,21h28m,21h38m,21h28m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 1C,  пластинки Kodak 103aD + ж.ф.18, стандарт  к снимку 12-5456.",
12-5454,NGC2237-9  Розетка,06h30m,04.40,15-16.02.1985,40m,20h18m,20h58m,20h18m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 4C,  пластинки Kodak 103aE + к.ф.№2, имеет стандарт 12-5454-st  и калибровку 12-5454-Cal.",
12-5454-st,Sky-Ori,05h25m,03.00,15-16.02.1985,40m,21h20m,22h00m,21h20m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 4C,  пластинки Kodak 103aE + к.ф.№2, стандарт к снимку 12-5454.",
12-1422,NGC281,00h52m,56.37,23-24.09.1955,40m,00h11m,00h51m,00h11m,"9,2*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 13C,  пластинки Astro uns.",
12-2985,NGC281,00h52m,56.37,16-17.11.1965,14m,23h51m,00h05m,23h51m,"9,2*9,7cm",50cm менисковый телескоп Максутова,Курчаков А.В.,"t= + 10C,  пластинки East OaO.",
12-5329,NGC281,00h52m,56.37,30.11-01.12.1983,45m,22h15m,23h00m,22h15m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 4C,  пластинки Kodak 103aE + к.ф.№2, имеет калибровку 12-5329-Cal.",
12-5330,NGC281,00h52m,56.37,30.11-01.12.1983,45m,23h06m,23h51m,23h06m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 4C,  пластинки Kodak 103aE + к.ф.№2, имеет калибровку 12-5329-Cal.",
12-5336,NGC281,00h52m,56.37,02-03.12.1983,45m,03h09m,03h54m,03h09m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 6C,  пластинки Kodak 103aE + к.ф.№2, имеет калибровку 12-5336-Cal.",
12-5337,NGC281,00h52m,56.37,02-03.12.1983,8m,21h40m,21h48m,21h40m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 2C,  пластинки ZU-21, имеет калибровку 12-5337-Cal.",
12-5338,NGC281,00h52m,56.37,02-03.12.1983,9m,22h04m,22h13m,22h04m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 2C,  пластинки ZU-21, имеет калибровку 12-5337-Cal.",
12-5340,NGC281,00h52m,56.37,08-09.12.1983,45m,21h21m,22h06m,21h21m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 1.5C,  пластинки Kodak 103aE + к.ф.№2, имеет стандарт 12-5340-st  и калибровку 12-5340-Cal.",
12-5340-st,alpha-Lacerta (Lac) область,22h31m,50.16,08-09.12.1983,45m,20h19m,21h04m,20h19m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 1.5C,  пластинки Kodak 103aE + к.ф.№2, стандарт к снимку 12-5340.",
12-5339,NGC281,00h52m,56.37,02-03.12.1983,7m,22h29m,22h36m,22h29m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 2C,  пластинки ZU-21, имеет калибровку 12-5337-Cal.",
12-5341,NGC281,00h52m,56.37,23-24.12.1983,10m,19h46m,19h56m,19h46m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 6C,  пластинки ZU-21, имеет калибровку 12-5341-Cal.",
12-5342,NGC281,00h52m,56.37,23-24.12.1983,9m,20h09m,20h18m,20h09m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 6C,  пластинки ZU-21, имеет калибровку 12-5341-Cal.",
12-5343,NGC281,00h52m,56.37,25-26.12.1983,9m,20h22m,20h31m,20h22m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 5C,  пластинки Kodak 103aO, имеет калибровку  12-5343-Cal.",
12-5344,NGC281,00h52m,56.37,25-26.12.1983,8m20s,20h49m,20h57m20s,20h49m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 5C,  пластинки Kodak 103aO, имеет калибровку  12-5343-Cal.",
12-5345,NGC281,00h52m,56.37,26-27.12.1983,10m,20h39m,20h49m,20h39m,"9,9*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 5C,  пластинки Kodak 103aO, имеет калибровку  12-5345-Cal.",
12-5346,NGC281,00h52m,56.37,26-27.12.1983,9m,20h58m,21h07m,20h58m,"9,5*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 5C,  пластинки Kodak 103aO, имеет калибровку  12-5345-Cal.",
12-5350,NGC281,00h52m,56.37,25-26.01.1984,10m,20h37m,20h47m,20h37m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 15C,  пластинки Kodak 103aD + ж.ф.18, имеет калибровку 12-5350-Cal.",
